"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-01","  100","  100",,,,"0.00","    0","0.0","0.0",,"34","27","    0",,,,,"   45",,,,,,"8.9","    1",,,"    1",,,,"    1",,,,,,,,"    1",,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-02","   30","   10",,,,"0.00","   94","0.0","0.0",,"42","19","  546",,,,,"  360",,,,,,"8.9","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-03","   60","   60",,,,"0.00","   40","0.0","0.0",,"48","24","  228",,,,,"  360",,,,,,"17.0","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-04","    0","    0",,,,"0.00","  100","0.0","0.0",,"35","17","  582",,,,,"  270",,,,,,"12.1",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-05","   60","   80",,,,"0.00","   70","0.0","0.0",,"47","14","  408",,,,,"  225",,,,,,"13.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-06","  100","  100",,,,"0.35","    0","2.2","0.0",,"37","30","    0",,,,,"  225",,,,,,"11.0","    1",,,"    1",,,,"    1",,,,,,,,"    1",,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-07","  100","  100",,,,"0.21","    0","1.8","3.0",,"32","19","    0",,,,,"  360","0.2",,,,,"14.1","    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-08","   40","   40",,,,"0.00","   73","0.0","3.0",,"20","6","  426",,,,,"  270","0.3",,,,,"19.9",,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-09","   40","   80",,,,"0.00","   30","0.0","2.0",,"12","2","  174",,,,,"  270","0.2",,,,,"17.0",,,,,,,,,,,,,,,,"    1",,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-01-10","    0","    0",,,,"0.00","  100","0.0","2.0",,"30","2","  588",,,,,"  315","0.1",,,,,"17.0",,,,,,,,,,,,,,,,,,,,
